District,ac_no,ac_name,Winner Candidate 2014,Winner Party 2014,Winner Votes,Runner Up Candidate 2014,Runner Up Party 2014,Runner Up Votes 2014,Margin 2014,Turnout(%) 2019,Winner Candidate 2019,Winner Party 2019,Winner Votes 2019,Runner Up Candidate 2019,Runner Up Party 2019,Runner Up Votes 2019,Margin 2019,Status
Prakasam,231,Giddalur,Ashok Reddy Muthumula,YSR Congress Party,94413,Anna Rambabu,Telugu Desam Party,81520,12893,81.89,Anna Rambabu,YSR Congress Party,133111,Ashok Reddy Muthumula,Telugu Desam Party,52076,81035,YSR Congress Party Hold
Prakasam,232,Kanigiri,Kadiri Baburao,Telugu Desam Party,79492,Burra Madhu Sudhan Yadav,YSR Congress Party,72285,7207,82.23,Burra Madhu Sudhan Yadav,YSR Congress Party,112730,Mukku Ugra Narasimha Reddy,Telugu Desam Party,71827,40903,Telugu Desam Party -->  YSR Congress Party
Nellore,233,Kavali,Ramireddy Pratap Kumar Reddy,YSR Congress Party,89589,Beeda Masthan Rao,Telugu Desam Party,84620,4969,76.19,Ramireddy Pratap Kumar Reddy,YSR Congress Party,95828,Katamreddy Vishnu Vardhan Reddy,Telugu Desam Party,81711,14117,YSR Congress Party Hold
Nellore,234,Atmakur,Mekapati Goutham Reddy,YSR Congress Party,91686,Guturu Murali Kanna Babu,Telugu Desam Party,60274,31412,82.44,Mekapati Goutham Reddy,YSR Congress Party,92758,Bollineni Krishnaiah,Telugu Desam Party,70482,22276,YSR Congress Party Hold
Nellore,235,Kovur,Polam Reddy Srinivasulu Reddy,Telugu Desam Party,94108,Nallapa Reddy Prasanna Kumar Reddy,YSR Congress Party,86171,7937,77.92,Nallapa Reddy Prasanna Kumar Reddy,YSR Congress Party,116239,Polam Reddy Srinivasulu Reddy,Telugu Desam Party,76348,39891,Telugu Desam Party -->  YSR Congress Party
Nellore,236,Nellore City,Anil Kumar Poluboina,YSR Congress Party,74372,Mungamuru Sridhara Krishna Reddy,Telugu Desam Party,55285,19087,65.42,Anil Kumar Poluboina,YSR Congress Party,75040,Ponguru Narayana,Telugu Desam Party,73052,1988,YSR Congress Party Hold
Nellore,237,Nellore Rural,Kotamreddy Sridhar Reddy,YSR Congress Party,79103,Sannapureddy Suresh Reddy,Bharatiya Janata Party,53450,25653,65.16,Kotamreddy Sridhar Reddy,YSR Congress Party,85724,Abdul Aziz Shaik,Telugu Desam Party,64948,20776,YSR Congress Party Hold
Nellore,238,Sarvepalli,Kakani Govardhan Reddy,YSR Congress Party,85744,Chandra Mohan Reddy Somireddy,Telugu Desam Party,80298,5446,82.42,Kakani Govardhan Reddy,YSR Congress Party,97272,Chandra Mohan Reddy Somireddy,Telugu Desam Party,83299,13973,YSR Congress Party Hold
Nellore,239,Gudur (SC),Pasim Sunil Kumar,YSR Congress Party,80698,Bathala Radha Jyothsna Latha,Telugu Desam Party,71650,9048,78.12,Varaprasad Rao Velagapalli,YSR Congress Party,109759,Pasim Sunil Kumar,Telugu Desam Party,64301,45458,YSR Congress Party Hold
Nellore,240,Sullurpeta (SC),Kiliveti Sanjeevaiah,YSR Congress Party,85343,Parasa Venkata Rathnaiah,Telugu Desam Party,81617,3726,82.86,Kiliveti Sanjeevaiah,YSR Congress Party,119627,Parasa Venkata Rathnaiah,Telugu Desam Party,58335,61292,YSR Congress Party Hold
Nellore,241,Venkatagiri,Kurugondla Ramakrishna,Telugu Desam Party,83669,Kommi Lakshmaiah Naidu,YSR Congress Party,78034,5635,78.63,Anam Ramanarayana Reddy,YSR Congress Party,109204,Kurugondla Ramakrishna,Telugu Desam Party,70484,38720,Telugu Desam Party -->  YSR Congress Party
Nellore,242,Udayagiri,Bollineni Venkata Ramarao,Telugu Desam Party,85873,Mekapati Chandra Sekhar Reddy,YSR Congress Party,82251,3622,79.48,Mekapati Chandra Sekhar Reddy,YSR Congress Party,106487,Bollineni Venkata Ramarao,Telugu Desam Party,69959,36528,Telugu Desam Party -->  YSR Congress Party
Kadapa,243,Badvel (SC),Thiriveedi Jayaramulu,YSR Congress Party,78879,N D Vijaya Jyothi,Telugu Desam Party,68800,10079,77.64,G. Venkata Subbaiah,YSR Congress Party,95482,Obulapuram Raja Sekhar,Telugu Desam Party,50748,44734,YSR Congress Party Hold
